ticket_id,created_at,priority,text,label
TKT25070900045,2025-07-09T13:12,P2,"Keyboard keys not responding, trackpad intermittent. ASAP",hardware_fault
TKT25061300046,2025-06-13T20:50,P4,"Outlook is not syncing, mailbox appears offline.",email_issue
TKT25061500047,2025-06-15T15:38,P3,"Site cannot reach internet, multiple devices affected.",network_outage
TKT25061800048,2025-06-18T14:48,P3,"Remote access not working, tunnel fails during handshake. after update",vpn_issue
TKT25060200049,2025-06-02T15:03,P3,"Suspicious login detected from unknown location, please investigate. during shift change",security_alert
TKT25082700050,2025-08-27T10:51,P2,Please provision role-based access for project workspace.,access_request
TKT25081300051,2025-08-13T18:43,P4,VPN connection drops repeatedly after connecting.,vpn_issue
TKT25060900052,2025-06-09T01:14,P2,New starter needs access to finance application and mailbox. during shift change,access_request
TKT25060200053,2025-06-02T12:21,P2,"Malware alert triggered, endpoint quarantined by AV.",security_alert
TKT25071100054,2025-07-11T20:09,P3,"Remote access not working, tunnel fails during handshake.",vpn_issue
TKT25082400055,2025-08-24T10:21,P4,New starter needs access to finance application and mailbox.,access_request
TKT25071800056,2025-07-18T19:08,P2,VPN connection drops repeatedly after connecting. single user,vpn_issue
TKT25082900057,2025-08-29T12:07,P1,Device overheating and shutting down under load. since this morning,hardware_fault
TKT25062300058,2025-06-23T02:40,P3,"Multiple failed attempts, please unlock and reset credentials.",password_reset
TKT25081900059,2025-08-19T23:38,P4,Please provision role-based access for project workspace. during shift change,access_request
TKT25081400060,2025-08-14T21:44,P4,"Outlook is not syncing, mailbox appears offline.",email_issue
TKT25081500061,2025-08-15T07:53,P1,New starter needs access to finance application and mailbox.,access_request
TKT25081800062,2025-08-18T08:21,P3,New starter needs access to finance application and mailbox. urgent,access_request
TKT25061500063,2025-06-15T04:16,P3,"Outlook is not syncing, mailbox appears offline.",email_issue
TKT25062300064,2025-06-23T00:00,P4,"Unable to authenticate to VPN, error code 691 appears.",vpn_issue
TKT25071300065,2025-07-13T17:13,P3,"Emails are delayed, users report messages stuck in outbox. since this morning",email_issue
TKT25061300066,2025-06-13T22:44,P3,"Remote access not working, tunnel fails during handshake.",vpn_issue
TKT25073000067,2025-07-30T04:17,P4,"Emails are delayed, users report messages stuck in outbox. impacting multiple users",email_issue
TKT25071500068,2025-07-15T11:27,P3,"UI freezes on save, error trace appears in logs.",software_bug
TKT25081300069,2025-08-13T02:23,P2,Request access to shared folder and group membership update. after update,access_request
TKT25060200070,2025-06-02T10:43,P3,Please provision role-based access for project workspace.,access_request
TKT25062100071,2025-06-21T16:40,P1,"Feature not working after update, regression suspected.",software_bug
TKT25071100072,2025-07-11T14:59,P2,"Request to reset password, user failed MFA and is locked out.",password_reset
TKT25060100073,2025-06-01T07:09,P4,"Multiple failed attempts, please unlock and reset credentials.",password_reset
TKT25080700074,2025-08-07T02:46,P3,"Possible phishing reported, user clicked link and entered credentials.",security_alert
TKT25071500075,2025-07-15T10:55,P3,"UI freezes on save, error trace appears in logs. impacting multiple users",software_bug
TKT25072800076,2025-07-28T20:22,P2,Device overheating and shutting down under load. urgent,hardware_fault
TKT25072600077,2025-07-26T21:41,P2,"Request to reset password, user failed MFA and is locked out.",password_reset
TKT25073100078,2025-07-31T19:31,P3,"Keyboard keys not responding, trackpad intermittent. ASAP",hardware_fault
TKT25072000079,2025-07-20T10:00,P3,"Keyboard keys not responding, trackpad intermittent. ASAP",hardware_fault
TKT25082900080,2025-08-29T10:58,P3,"Request to reset password, user failed MFA and is locked out. during shift change",password_reset
TKT25082500081,2025-08-25T17:55,P2,"Site cannot reach internet, multiple devices affected. ASAP",network_outage
TKT25062100082,2025-06-21T19:47,P4,"Feature not working after update, regression suspected. ASAP",software_bug
TKT25070700083,2025-07-07T11:42,P4,"Laptop will not boot, blinking power light and no display. during shift change",hardware_fault
TKT25081500084,2025-08-15T12:28,P2,"Keyboard keys not responding, trackpad intermittent. since this morning",hardware_fault
TKT25060600085,2025-06-06T20:21,P3,Packet loss and high latency reported across region. single user,network_outage
TKT25081600086,2025-08-16T21:11,P3,Application crashes when exporting report to PDF. after update,software_bug
TKT25071000087,2025-07-10T06:16,P3,"Multiple failed attempts, please unlock and reset credentials. please help",password_reset
TKT25072700088,2025-07-27T18:44,P4,"UI freezes on save, error trace appears in logs.",software_bug
TKT25071100089,2025-07-11T13:51,P4,Packet loss and high latency reported across region. ASAP,network_outage
TKT25070100090,2025-07-01T22:18,P3,New starter needs access to finance application and mailbox. please help,access_request
TKT25072100091,2025-07-21T03:48,P3,"Possible phishing reported, user clicked link and entered credentials. impacting multiple users",security_alert
TKT25071100092,2025-07-11T18:26,P3,VPN connection drops repeatedly after connecting. during shift change,vpn_issue
TKT25070100093,2025-07-01T18:37,P2,"Malware alert triggered, endpoint quarantined by AV. impacting multiple users",security_alert
TKT25080700094,2025-08-07T11:15,P3,"Unable to authenticate to VPN, error code 691 appears.",vpn_issue
TKT25060600095,2025-06-06T14:02,P3,Device overheating and shutting down under load. single user,hardware_fault
TKT25081100096,2025-08-11T03:04,P4,"Site cannot reach internet, multiple devices affected.",network_outage
TKT25062900097,2025-06-29T01:57,P4,"User cannot log in, password expired and account locked. during shift change",password_reset
TKT25071500098,2025-07-15T02:01,P2,"Site cannot reach internet, multiple devices affected. during shift change",network_outage
TKT25062300099,2025-06-23T08:41,P2,Packet loss and high latency reported across region.,network_outage
TKT25060800100,2025-06-08T15:36,P4,"Multiple failed attempts, please unlock and reset credentials.",password_reset
TKT25062800101,2025-06-28T08:10,P2,"User cannot log in, password expired and account locked. urgent",password_reset
TKT25071800102,2025-07-18T04:46,P3,"Remote access not working, tunnel fails during handshake. ASAP",vpn_issue
TKT25082900103,2025-08-29T16:10,P3,"Outlook is not syncing, mailbox appears offline.",email_issue
TKT25060300104,2025-06-03T15:14,P3,"Outlook is not syncing, mailbox appears offline. impacting multiple users",email_issue
TKT25072900105,2025-07-29T05:53,P2,Request access to shared folder and group membership update. during shift change,access_request
TKT25080200106,2025-08-02T14:58,P4,"Unable to authenticate to VPN, error code 691 appears.",vpn_issue
TKT25071600107,2025-07-16T10:32,P2,"Emails are delayed, users report messages stuck in outbox. single user",email_issue
TKT25062000108,2025-06-20T22:18,P4,"WiFi is down in building, SSID not visible.",network_outage
TKT25071400109,2025-07-14T15:42,P4,"Unable to send email, SMTP authentication failed. please help",email_issue
TKT25082700110,2025-08-27T16:05,P2,"Multiple failed attempts, please unlock and reset credentials. after update",password_reset
TKT25081900111,2025-08-19T12:32,P4,"User cannot log in, password expired and account locked. during shift change",password_reset
TKT25071800112,2025-07-18T05:33,P3,"Site cannot reach internet, multiple devices affected. please help",network_outage
TKT25071000113,2025-07-10T19:39,P2,"Unable to send email, SMTP authentication failed. since this morning",email_issue
TKT25080800114,2025-08-08T07:01,P3,"User cannot log in, password expired and account locked. ASAP",password_reset
TKT25060500115,2025-06-05T10:23,P3,"UI freezes on save, error trace appears in logs.",software_bug
TKT25071300116,2025-07-13T16:59,P3,"Emails are delayed, users report messages stuck in outbox. since this morning",email_issue
TKT25071200117,2025-07-12T18:20,P4,"Remote access not working, tunnel fails during handshake.",vpn_issue
TKT25070100118,2025-07-01T12:23,P3,"User cannot log in, password expired and account locked.",password_reset
TKT25062700119,2025-06-27T18:23,P4,Packet loss and high latency reported across region. since this morning,network_outage
TKT25061000120,2025-06-10T15:41,P4,Please provision role-based access for project workspace.,access_request
TKT25081300121,2025-08-13T07:58,P2,"Keyboard keys not responding, trackpad intermittent.",hardware_fault
TKT25081400122,2025-08-14T01:09,P4,"Laptop will not boot, blinking power light and no display.",hardware_fault
TKT25081000123,2025-08-10T13:04,P3,New starter needs access to finance application and mailbox.,access_request
TKT25072900124,2025-07-29T11:01,P3,"Keyboard keys not responding, trackpad intermittent.",hardware_fault
TKT25082800125,2025-08-28T21:41,P3,Request access to shared folder and group membership update.,access_request
TKT25070800126,2025-07-08T12:22,P3,"Staff member cannot log in, password expired and account locked. during shift change",password_reset
TKT25062700127,2025-06-27T10:52,P3,Please provision role-based access for project workspace. ASAP,access_request
TKT25061700128,2025-06-17T17:11,P3,"Unable to authenticate to VPN, error code 691 appears.",vpn_issue
TKT25082900129,2025-08-29T07:41,P3,"Unable to send email, SMTP authentication failed. ASAP",email_issue
TKT25061000130,2025-06-10T05:02,P3,VPN connection drops repeatedly after connecting.,vpn_issue
TKT25062100131,2025-06-21T23:02,P2,"UI freezes on save, error trace appears in logs.",software_bug
TKT25081700132,2025-08-17T22:50,P3,Please provision role-based access for project workspace. ASAP,access_request
TKT25062000133,2025-06-20T14:06,P3,"Remote access not working, tunnel fails during handshake.",vpn_issue
TKT25081300134,2025-08-13T07:50,P4,"Staff member cannot log in, password expired and account locked.",password_reset
TKT25081100135,2025-08-11T13:48,P3,"Keyboard keys not responding, trackpad intermittent. single user",hardware_fault
TKT25061400136,2025-06-14T21:49,P3,"User cannot log in, password expired and account locked.",password_reset
TKT25062600137,2025-06-26T11:55,P3,New starter needs access to finance application and mailbox.,access_request
TKT25070800138,2025-07-08T06:24,P1,"WiFi is down in building, SSID not visible.",network_outage
TKT25070700139,2025-07-07T10:44,P4,"UI freezes on save, error trace appears in logs.",software_bug
TKT25081900140,2025-08-19T10:55,P3,"Laptop will not boot, blinking power light and no display. ASAP",hardware_fault
TKT25082100141,2025-08-21T21:09,P2,VPN connection drops repeatedly after connecting. please help,vpn_issue
TKT25062600142,2025-06-26T11:55,P3,New starter needs access to finance application and mailbox.,access_request
TKT25081500143,2025-08-15T08:33,P1,"Site cannot reach internet, multiple devices affected. impacting multiple users",network_outage
TKT25072800144,2025-07-28T15:06,P4,"WiFi is down in building, SSID not visible. after update",network_outage
TKT25061700145,2025-06-17T11:12,P2,Please provision role-based access for project workspace.,access_request
TKT25082700146,2025-08-27T08:41,P4,"Unable to send email, SMTP authentication failed. since this morning",email_issue
TKT25073100147,2025-07-31T02:39,P3,"Remote access not working, tunnel fails during handshake.",vpn_issue
TKT25062800148,2025-06-28T13:25,P3,"Emails are delayed, users report messages stuck in outbox.",email_issue
TKT25071000149,2025-07-10T10:50,P1,New starter needs access to finance application and mailbox. since this morning,access_request
TKT25081000150,2025-08-10T04:44,P3,New starter needs access to finance application and mailbox. during shift change,access_request
TKT25070300151,2025-07-03T21:07,P4,"Unable to authenticate to VPN, error code 691 appears. ASAP",vpn_issue
TKT25080900152,2025-08-09T23:41,P3,Device overheating and shutting down under load. please help,hardware_fault
TKT25081000153,2025-08-10T13:57,P1,"Multiple failed attempts, please unlock and reset credentials.",password_reset
TKT25061800154,2025-06-18T10:24,P4,"Multiple failed attempts, please unlock and reset credentials.",password_reset
TKT25062000155,2025-06-20T21:38,P4,"Laptop will not boot, blinking power light and no display.",hardware_fault
TKT25071200156,2025-07-12T01:49,P3,New starter needs access to finance application and mailbox. single user,access_request
TKT25062200157,2025-06-22T08:46,P3,"WiFi is down in building, SSID not visible. single user",network_outage
TKT25082000158,2025-08-20T14:05,P2,"Unable to authenticate to VPN, error code 691 appears. single user",vpn_issue
TKT25082600159,2025-08-26T22:53,P3,Application crashes when exporting report to PDF.,software_bug
TKT25080600160,2025-08-06T09:54,P3,Please provision role-based access for project workspace.,access_request
TKT25080800161,2025-08-08T19:37,P3,"Emails are delayed, users report messages stuck in outbox.",email_issue
TKT25071700162,2025-07-17T10:47,P3,"Remote access not working, tunnel fails during handshake.",vpn_issue
TKT25080500163,2025-08-05T23:21,P4,Packet loss and high latency reported across region.,network_outage
TKT25071700164,2025-07-17T03:23,P4,"Unable to authenticate to VPN, error code 691 appears.",vpn_issue
TKT25060100165,2025-06-01T05:38,P3,"Colleague cannot log in, password expired and account locked.",password_reset
TKT25072400166,2025-07-24T00:26,P2,"Request to reset password, user failed MFA and is locked out. after update",password_reset
TKT25062200167,2025-06-22T22:09,P2,New starter needs access to finance application and mailbox. urgent,access_request
TKT25062400168,2025-06-24T18:45,P1,"Multiple failed attempts, please unlock and reset credentials. single user",password_reset
TKT25072300169,2025-07-23T01:30,P3,Please provision role-based access for project workspace.,access_request
TKT25070700170,2025-07-07T12:56,P3,"Keyboard keys not responding, trackpad intermittent. urgent",hardware_fault
TKT25071700171,2025-07-17T15:26,P3,"Staff member cannot log in, password expired and account locked. impacting multiple users",password_reset
TKT25060600172,2025-06-06T17:44,P3,New starter needs access to finance application and mailbox.,access_request
TKT25060100173,2025-06-01T13:42,P4,Packet loss and high latency reported across region.,network_outage
TKT25062400174,2025-06-24T12:40,P3,"Malware alert triggered, endpoint quarantined by AV. during shift change",security_alert
TKT25062400175,2025-06-24T16:43,P2,"Multiple failed attempts, please unlock and reset credentials.",password_reset
TKT25082300176,2025-08-23T13:42,P4,Please provision role-based access for project workspace. single user,access_request
TKT25081500177,2025-08-15T18:07,P2,"Multiple failed attempts, please unlock and reset credentials. single user",password_reset
TKT25062200178,2025-06-22T12:36,P4,"Request to reset password, user failed MFA and is locked out. after update",password_reset
TKT25071900179,2025-07-19T06:31,P3,Please provision role-based access for project workspace.,access_request
TKT25080500180,2025-08-05T05:11,P3,Request access to shared folder and group membership update.,access_request
TKT25061600181,2025-06-16T10:32,P1,"Outlook is not syncing, mailbox appears offline. ASAP",email_issue
TKT25061300182,2025-06-13T18:22,P1,"Multiple failed attempts, please unlock and reset credentials.",password_reset
TKT25080600183,2025-08-06T07:27,P2,"Multiple failed attempts, please unlock and reset credentials.",password_reset
TKT25080800184,2025-08-08T00:28,P4,New starter needs access to finance application and mailbox. ASAP,access_request
TKT25081400185,2025-08-14T06:07,P3,"Outlook is not syncing, mailbox appears offline. ASAP",email_issue
TKT25070100186,2025-07-01T06:52,P3,"Outlook is not syncing, mailbox appears offline. impacting multiple users",email_issue
TKT25080900187,2025-08-09T05:33,P3,"Emails are delayed, users report messages stuck in outbox. since this morning",email_issue
TKT25060300188,2025-06-03T19:29,P3,"Keyboard keys not responding, trackpad intermittent.",hardware_fault
TKT25062000189,2025-06-20T11:48,P4,"Request to reset password, user failed MFA and is locked out.",password_reset
TKT25062600190,2025-06-26T22:48,P4,"Request to reset password, user failed MFA and is locked out. urgent",password_reset
TKT25081400191,2025-08-14T06:44,P4,"Request to reset password, user failed MFA and is locked out. during shift change",password_reset
TKT25062000192,2025-06-20T07:46,P3,Please provision role-based access for project workspace. please help,access_request
TKT25071500193,2025-07-15T03:01,P4,"Laptop will not boot, blinking power light and no display.",hardware_fault
TKT25070700194,2025-07-07T02:44,P3,Request access to shared folder and group membership update.,access_request
TKT25062800195,2025-06-28T06:47,P3,"Site cannot reach internet, multiple devices affected. urgent",network_outage
TKT25061200196,2025-06-12T10:03,P3,Request access to shared folder and group membership update. impacting multiple users,access_request
TKT25063000197,2025-06-30T09:35,P2,"Possible phishing reported, user clicked link and entered credentials.",security_alert
TKT25071200198,2025-07-12T16:25,P3,"Feature not working after update, regression suspected.",software_bug
TKT25080200199,2025-08-02T16:34,P3,VPN connection drops repeatedly after connecting. during shift change,vpn_issue
TKT25080500200,2025-08-05T02:24,P4,"Remote access not working, tunnel fails during handshake.",vpn_issue
TKT25062400201,2025-06-24T06:45,P4,"Possible phishing reported, user clicked link and entered credentials. please help",security_alert
TKT25061400202,2025-06-14T14:04,P2,"Site cannot reach internet, multiple devices affected.",network_outage
TKT25062600203,2025-06-26T06:32,P4,"Emails are delayed, users report messages stuck in outbox. impacting multiple users",email_issue
TKT25071600204,2025-07-16T01:03,P3,"Laptop will not boot, blinking power light and no display. after update",hardware_fault
TKT25082100205,2025-08-21T17:17,P3,"Laptop will not boot, blinking power light and no display. after update",hardware_fault
TKT25073100206,2025-07-31T02:39,P3,Please provision role-based access for project workspace.,access_request
TKT25080100207,2025-08-01T03:55,P3,"Feature not working after update, regression suspected.",software_bug
TKT25062200208,2025-06-22T19:34,P3,"Keyboard keys not responding, trackpad intermittent. ASAP",hardware_fault
TKT25060200209,2025-06-02T18:27,P4,"Suspicious login detected from unknown location, please investigate. after update",security_alert
TKT25081000210,2025-08-10T00:52,P3,Device overheating and shutting down under load.,hardware_fault
TKT25071700211,2025-07-17T17:30,P2,"Laptop will not boot, blinking power light and no display. impacting multiple users",hardware_fault
TKT25072800212,2025-07-28T12:48,P4,Please provision role-based access for project workspace. during shift change,access_request
TKT25082900213,2025-08-29T03:00,P2,New starter needs access to finance application and mailbox.,access_request
TKT25072800214,2025-07-28T09:08,P3,"Laptop will not boot, blinking power light and no display.",hardware_fault
TKT25072700215,2025-07-27T13:41,P3,"Outlook is not syncing, mailbox appears offline. after update",email_issue
TKT25071800216,2025-07-18T10:29,P2,Request access to shared folder and group membership update. after update,access_request
TKT25081200217,2025-08-12T20:40,P3,"UI freezes on save, error trace appears in logs. please help",software_bug
TKT25061400218,2025-06-14T03:55,P3,Device overheating and shutting down under load.,hardware_fault
TKT25072900219,2025-07-29T11:09,P4,"UI freezes on save, error trace appears in logs. single user",software_bug
TKT25082800220,2025-08-28T11:02,P3,"Laptop will not boot, blinking power light and no display. after update",hardware_fault
TKT25072900221,2025-07-29T21:30,P3,Device overheating and shutting down under load.,hardware_fault
TKT25070300222,2025-07-03T14:51,P4,Device overheating and shutting down under load.,hardware_fault
TKT25061300223,2025-06-13T15:16,P4,Application crashes when exporting report to PDF. since this morning,software_bug
TKT25073000224,2025-07-30T00:51,P3,Request access to shared folder and group membership update.,access_request
TKT25070200225,2025-07-02T04:19,P2,"Customer cannot log in, password expired and account locked.",password_reset
TKT25082000226,2025-08-20T10:51,P4,Packet loss and high latency reported across region. ASAP,network_outage
TKT25080600227,2025-08-06T18:31,P3,Application crashes when exporting report to PDF. impacting multiple users,software_bug
TKT25071300228,2025-07-13T14:12,P3,Packet loss and high latency reported across region. after update,network_outage
TKT25071900229,2025-07-19T13:24,P4,"Laptop will not boot, blinking power light and no display.",hardware_fault
TKT25081500230,2025-08-15T15:37,P3,"Request to reset password, user failed MFA and is locked out. during shift change",password_reset
TKT25060300231,2025-06-03T13:37,P3,Device overheating and shutting down under load. since this morning,hardware_fault
TKT25071400232,2025-07-14T14:53,P4,"Malware alert triggered, endpoint quarantined by AV.",security_alert
TKT25081700233,2025-08-17T13:15,P3,"Multiple failed attempts, please unlock and reset credentials. please help",password_reset
TKT25062600234,2025-06-26T13:45,P3,Device overheating and shutting down under load.,hardware_fault
TKT25081400235,2025-08-14T11:54,P3,VPN connection drops repeatedly after connecting.,vpn_issue
TKT25061900236,2025-06-19T07:37,P3,"Keyboard keys not responding, trackpad intermittent.",hardware_fault
TKT25081000237,2025-08-10T13:54,P1,"Colleague cannot log in, password expired and account locked. single user",password_reset
TKT25061000238,2025-06-10T18:21,P1,"Malware alert triggered, endpoint quarantined by AV. urgent",security_alert
TKT25081100239,2025-08-11T00:17,P4,"UI freezes on save, error trace appears in logs.",software_bug
TKT25072700240,2025-07-27T06:35,P2,Please provision role-based access for project workspace. ASAP,access_request
TKT25073000241,2025-07-30T00:20,P3,Request access to shared folder and group membership update. ASAP,access_request
TKT25062800242,2025-06-28T04:24,P3,"UI freezes on save, error trace appears in logs.",software_bug
TKT25082200243,2025-08-22T05:52,P3,"Emails are delayed, users report messages stuck in outbox.",email_issue
TKT25080200244,2025-08-02T14:44,P3,Request access to shared folder and group membership update.,access_request
TKT25070800245,2025-07-08T02:49,P2,"Multiple failed attempts, please unlock and reset credentials. please help",password_reset
TKT25070900246,2025-07-09T10:19,P1,Request access to shared folder and group membership update.,access_request
TKT25062500247,2025-06-25T18:57,P3,Request access to shared folder and group membership update. ASAP,access_request
TKT25080700248,2025-08-07T06:02,P3,Device overheating and shutting down under load. urgent,hardware_fault
TKT25082300249,2025-08-23T21:52,P3,"User cannot log in, password expired and account locked. during shift change",password_reset
TKT25070600250,2025-07-06T00:07,P3,Packet loss and high latency reported across region. urgent,network_outage
TKT25082500251,2025-08-25T09:19,P4,New starter needs access to finance application and mailbox.,access_request
TKT25072900252,2025-07-29T00:57,P3,"Laptop will not boot, blinking power light and no display. ASAP",hardware_fault
TKT25062500253,2025-06-25T11:28,P4,"Keyboard keys not responding, trackpad intermittent.",hardware_fault
TKT25080500254,2025-08-05T07:31,P1,"Emails are delayed, users report messages stuck in outbox. since this morning",email_issue
TKT25062300255,2025-06-23T03:35,P3,"Request to reset password, user failed MFA and is locked out.",password_reset
TKT25060100256,2025-06-01T03:38,P3,"Outlook is not syncing, mailbox appears offline.",email_issue
TKT25081000257,2025-08-10T11:28,P3,Device overheating and shutting down under load.,hardware_fault
TKT25060800258,2025-06-08T15:44,P3,"Multiple failed attempts, please unlock and reset credentials. during shift change",password_reset
TKT25082800259,2025-08-28T09:43,P3,Application crashes when exporting report to PDF.,software_bug
TKT25072300260,2025-07-23T18:35,P1,"Request to reset password, user failed MFA and is locked out. impacting multiple users",password_reset
TKT25062100261,2025-06-21T22:59,P3,"Unable to send email, SMTP authentication failed. since this morning",email_issue
TKT25060900262,2025-06-09T07:07,P4,Packet loss and high latency reported across region. impacting multiple users,network_outage
TKT25071700263,2025-07-17T13:11,P2,"Unable to send email, SMTP authentication failed.",email_issue
TKT25071200264,2025-07-12T17:01,P2,"Request to reset password, user failed MFA and is locked out. ASAP",password_reset
TKT25082900265,2025-08-29T03:16,P4,"Outlook is not syncing, mailbox appears offline. urgent",email_issue
TKT25082500266,2025-08-25T04:26,P4,Device overheating and shutting down under load. single user,hardware_fault
TKT25082900267,2025-08-29T12:22,P3,Application crashes when exporting report to PDF. urgent,software_bug
TKT25071200268,2025-07-12T05:53,P4,"User cannot log in, password expired and account locked.",password_reset
TKT25082200269,2025-08-22T23:51,P4,"Site cannot reach internet, multiple devices affected.",network_outage
TKT25082600270,2025-08-26T01:52,P3,"Request to reset password, user failed MFA and is locked out.",password_reset
TKT25062200271,2025-06-22T03:52,P4,"Emails are delayed, users report messages stuck in outbox.",email_issue
TKT25081500272,2025-08-15T08:23,P1,"Unable to authenticate to VPN, error code 691 appears.",vpn_issue
TKT25071400273,2025-07-14T12:11,P2,"Feature not working after update, regression suspected.",software_bug
TKT25062700274,2025-06-27T21:23,P3,"Outlook is not syncing, mailbox appears offline.",email_issue
TKT25061200275,2025-06-12T04:09,P3,"Suspicious login detected from unknown location, please investigate. since this morning",security_alert
TKT25082000276,2025-08-20T07:05,P3,VPN connection drops repeatedly after connecting.,vpn_issue
TKT25081900277,2025-08-19T23:36,P2,"Site cannot reach internet, multiple devices affected. impacting multiple users",network_outage
TKT25060200278,2025-06-02T22:57,P2,"Laptop will not boot, blinking power light and no display.",hardware_fault
TKT25072700279,2025-07-27T12:52,P2,"WiFi is down in building, SSID not visible.",network_outage
TKT25061400280,2025-06-14T00:34,P4,VPN connection drops repeatedly after connecting. during shift change,vpn_issue
TKT25081500281,2025-08-15T13:27,P3,"Unable to authenticate to VPN, error code 691 appears. urgent",vpn_issue
TKT25061100282,2025-06-11T06:36,P4,"Unable to authenticate to VPN, error code 691 appears. during shift change",vpn_issue
TKT25081500283,2025-08-15T04:12,P2,"Multiple failed attempts, please unlock and reset credentials.",password_reset
TKT25082300284,2025-08-23T06:10,P2,"Malware alert triggered, endpoint quarantined by AV. single user",security_alert
TKT25071000285,2025-07-10T18:57,P3,"Outlook is not syncing, mailbox appears offline. single user",email_issue
TKT25060400286,2025-06-04T15:35,P3,"Keyboard keys not responding, trackpad intermittent. single user",hardware_fault
TKT25062100287,2025-06-21T17:42,P2,VPN connection drops repeatedly after connecting. please help,vpn_issue
